Official (scientific) name,Common name
Eunectes murinus,
Eunectes notaeus,
Eunicea palmeri,
Eunice pennata,
Eunicea tourneforti,
Eunymphicus uvaeensis,
Euonymus alatus,
Euoticus elegantulus,
Euonymus europaeus,
Euonymus maackii,
Eupsittula aurea,
Euphydryas aurinia,
Eupenicillium brefeldianum,
Eupackardia calleta,
Euplexaura crassa,
Eupsophus calcaratus,
Euphorbia characias,
Eupetaurus cinereus,
Euphydryas chalcedona,
Eupatorium cannabinum,
Euphagus carolinus,
Euphlyctis cyanophlyctis,
Euplotes crassus,
Euphorbia cyparissias,
Euphorbia cyathophora,
Euptoieta claudia,
Euphagus cyanocephalus,
Euphorbia dulcis,
Euphydryas editha,
Euphilotes enoptes,
Euphorbia esula,
Euplotes focardii,
Euphorbia helioscopia,
Eupatorium hyssopifolium,
Euphorbia lagascae,
Euphorbia lathyris,
Eupetomena macroura,
Euphorbia milii,
Euptilotis neoxenus,
Euphorbia nivulia,
Euplotoides octocarinatus,
Euproserpinus phaeton,
Euphorbia peplus,
Euphydryas phaeton,
Euphilotes pallescens,
Eupatorium perfoliatum,
Euplotes raikovi,
Euprymna scolopes,
Eupodotis senegalensis,
Euphausia superba,
Euphractus sexcinctus,
Euphorbia tirucalli,
Euplotes vannus,
Eurytoma adleriae,
Eurema blanda,
Eurythoe complanata,
Eurema daira,
Euraphia depressa,
Eurypanopeus depressus,
Euryale ferox,
Eurycotis floridana,
Eurydema gebleri,
Eurema hecabe,
Eurema lisa,
Euroglyphus maynei,
Euroscaptor micrura,
Euryoryzomys macconnelli,
Eurytides marcellus,
Eurypharynx pelecanoides,
Euryceros prevostii,
Eurydice pulchra,
Euryoryzomys russatus,
Eurosta solidaginis,
Eusyllis blomstrandi,
Euschistus heros,
Euscaphis japonica,
Eusilpha japonica,
Eustrephus latifolius,
Euschistus servus,
Euschistus tristigmus,
Euthynnus affinis,
Euthynnus alletteratus,
Eutoxeres aquila,
Euthystira brachyptera,
Eutrichopus canariensis,
Eutrochium fistulosum,
Eutrichopus gonzalezi,
Euthamia graminifolia,
Eutrema halophilum,
Euthalia irrubescens,
Eutrema japonicum,
Eutypa lata (strain UCR-EL1),
Eutrochium maculatum,
Eutropis multifasciata,
Eutetras palmeri,
Eurytrema pancreaticum,
Eutolmus rufibarbis,
Eutrema salsugineum,
Euxoa divergens,
Euxoa scandens,
Evania appendigaster,
Evansella cellulosilytica (strain ATCC 21833 / DSM 2522 / FERM P-1141 / JCM 9156 / N-4),
Evarcha hoyi,
Evasterias troschelii,
Eviota afelei,
Evynnis cardinalis,
Evynnis tumifrons,
Exacum affine,
Exaiptasia diaphana,
Exapion lemovicinum,
Exapion ulicis,
Excalfactoria chinensis,
Excirolana hirsuticauda,
Exeristes roborator,
Exiguobacterium antarcticum (strain B7),
Exiguobacterium acetylicum,
Exilisciurus concinnus,
Exilisciurus exilis,
Exidia glandulosa,
Exiligada negriensis,
Exiliboa placata,
Exiguobacterium sibiricum (strain DSM 17290 / CIP 109462 / JCM 13490 / 255-15),
Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b),
Exophiala dermatitidis,
Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656),
Exophiala exophialae,
Exophiala jeanselmei,
Exorista larvarum,
Exophiala mesophila,
Exocoetus monocirrhus,
Exomala orientalis,
Exochomus quadripustulatus,
Exoneura robusta,
Exorista sorbillans,
Exocoetus volitans,
Explanatum explanatum,
Exserohilum rostratum,
Exserohilum turcicum (strain 28A),
Exserohilum turcicum,
Extatosoma tiaratum,
Eysarcoris guttigerus,
Faecalibacterium duncaniae (strain DSM 17677 / JCM 31915 / A2-165),
Fagus crenata,
Fagopyrum esculentum subsp. ancestrale,
Fagopyrum esculentum,
Fagus hayatae,
Fagus japonica,
Fagopyrum tataricum,
Falcipennis canadensis,
Falco cherrug,
Falco femoralis,
Falco mexicanus,
Falco naumanni,
Fallugia paradoxa,
Falco peregrinus,
Falco sparverius,
Falco tinnunculus,
Fannia armata,
Fannia canicularis,
Fannia manicata,
Farancia abacura,
Fasciola gigantica,
Fasciola hepatica,
Fasciolaria tulipa,
Fatsia japonica,
Favites complanata,
Favia fragum,
Favites halicora,
Favites pentagona,
Favites valenciennesi,
Faxonius limosus,
Faxonius rusticus,
Faxonius virilis,
Fejervarya cancrivora,
Fejervarya limnocharis,
Fejervarya multistriata,
Felis bieti,
Felis chaus,
Feltia jaculifera,
Felimida krohni,
Felimida luteorosea,
Felis margarita,
Felis manul,
Felis nigripes,
Felimare orsinii,
Felimare picta,
Felimida purpurea,
Felis silvestris,
Felis silvestris lybica,
Feniseca tarquinius,
Feline endogenous virus ECE1,
Ferroplasma acidarmanus,
Feresa attenuata,
Ferdinandcohnia aciditolerans (strain JCM 32973 / CCTCC AB 2017280 / YN-1),
Ferrimonas balearica (strain DSM 9799 / CCM 4581 / KCTC 23876 / PAT),
Fervidicoccus fontis (strain DSM 19380 / JCM 18336 / VKM B-2539 / Kam940),
Fervidobacterium gondwanense,
Fervidobacterium islandicum,
Fermentimicrarchaeum limneticum,
Fervidobacterium nodosum (strain ATCC 35602 / DSM 5306 / Rt17-B1),
Ferroglobus placidus (strain DSM 10642 / AEDII12DO),
Fervidobacterium pennivorans (strain DSM 9078 / Ven5),
Fervidobacterium pennivorans,
Ferroglobus placidus,
Festuca altissima,
Festuca arundinacea,
Festucopsis festucoides,
Festuca gigantea,
Festuca pratensis,
Festuca rubra,
Festucopsis serpentini,
Fibroporia radiculosa (strain TFFH 294),
Fibrobacter sp. (strain UWH6),
Fibrobacter succinogenes (strain ATCC 19169 / S85),
Fibrobacter succinogenes,
Ficedula albicollis,
Ficus benghalensis,
Ficus benjamina,
Ficus carica,
Ficus elastica,
Ficedula hypoleuca,
Ficedula narcissina,
Ficedula parva,
Ficus pumila var. awkeotsang,
Ficedula semitorquata,
Ranunculus ficaria,
Filifactor alocis (strain ATCC 35896 / CCUG 47790 / D40 B5),
Filarum manserichense,
Fimbriaphyllia ancora,
Fimbriimonas ginsengisoli,
Finegoldia magna (strain ATCC 29328 / DSM 20472 / WAL 2508),
Finegoldia magna,
Fischerella ambigua (strain UTEX 1903),
Fissurella cumingi,
Fischerella muscicola,
Fistulifera solaris,
Fissurella volcano,
Flabellina affinis,
Flavobacteriaceae bacterium (strain 3519-10),
Flavobacteria bacterium (strain BBFL7),
Flavobacterium branchiophilum (strain FL-15),
Flaveria bidentis,
Flavobacteria bacterium (strain MS024-2A),
Flaveria brownii,
Flavobacterium columnare (strain ATCC 49512 / CIP 103533 / TG 44/87),
Flaveria chlorifolia,
Flavobacterium daejeonense,
Flavobacterium frigoris,
Flaveria floridana,
Flavobacterium frigoris (strain PS1),
Flavobacterium frigidimaris,
Flavobacterium hydatis,
Flavobacterium indicum (strain DSM 17447 / CIP 109464 / GPTSA100-9),
Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / JCM 8514 / NBRC 14942 / NCIMB 11054 / UW101),
Flavobacterium johnsoniae,
Flaveria linearis,
Flavobacterium lutescens,
Flavilitoribacter nigricans (strain ATCC 23147 / DSM 23189 / NBRC 102662 / NCIMB 1420 / SS-2),
Flammeovirga pacifica (strain DSM 24597 / LMG 26175 / WPAGA1),
Flammeovirga pacifica,
Flavobacterium psychrophilum (strain ATCC 49511 / DSM 21280 / CIP 103535 / JIP02/86),
Flavonifractor plautii,
Flammulina populicola,
Flaveria pringlei,
Flavobacterium psychrophilum,
Favonius quercus,
Flavobacterium sp. (strain 141-8),
Flavobacterium sp. (strain K3-15 / DSM ID92-509),
Flavobacterium sp. (strain P99-3),
Flavobacterium sp. (strain CF136),
Flavobacterium sp.,
Flavobacterium sp. (strain SC 12,154),
Flavobacterium sp. (strain SK1022),
Flavobacterium sp. (strain U-188),
Flavobacteriaceae sp. genome_bin_11,
Flaveria trinervia,
Flammulina velutipes,
Fleroya rubrostipulata,
Flexistipes sinusarabici,
Flexistipes sinusarabici (strain ATCC 49648 / DSM 4947 / MAS 10),
Floropilus chiversii,
Florisuga fusca,
Florestina pedata,
Floerkea proserpinacoides,
Floydiella terrestris,
Fluviispira sanaruensis,
Fluvitrygon signifer,
Fluviicola taffensis (strain DSM 16823 / NCIMB 13979 / RW262),
Feline leukemia virus,
Feline leukemia virus (isolate CFE-16),
Feline leukemia virus (isolate CFE-6),
Feline leukemia virus (strain C/FA27),
Feline leukemia virus (strain C/FS246),
Feline leukemia virus (strain A/Glasgow-1),
Feline leukemia virus (strain B/lambda-B1),
Feline leukemia virus (strain C/Sarma),
Feline leukemia virus FTT,
Fomitiporia mediterranea (strain MF3/22),
Fomes meliae,
Fomitopsis schrenkii,
Fonticula alba,
Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1),
Formica aquilonia,
Forficula auricularia,
Forpus cyanopygius,
Forcipiger flavissimus,
Formica fusca,
Forsythia intermedia,
Formosania lacustris,
Forficula lesnei,
Formica lugubris,
Forpus modestus,
Forpus passerinus,
Formica pratensis,
Formica rufa,
Forcipomyia taiwana,
Formica truncorum,
Formimonas warabiya,
Fossa fossana,
Foudia eminentissima,
Avian papillomavirus fpv-l,
Frankia alni (strain DSM 45986 / CECT 9034 / ACN14a),
Frateuria aurantia (strain ATCC 33424 / DSM 6220 / KCTC 2777 / LMG 1558 / NBRC 3245 / NCIMB 13370),
Frankia alni,
Fratercula arctica,
Frankia casuarinae (strain DSM 45818 / CECT 9043 / HFP020203 / CcI3),
Francisella cf. novicida (strain Fx1),
Fratercula cirrhata,
Francisella cf. novicida (strain 3523),
Fratercula corniculata,
Frankia symbiont subsp. Datisca glomerata,
Fraxinus excelsior,
Francolinus francolinus,
Francisella novicida,
Frankliniella occidentalis,
Francisella orientalis (strain Toba 04),
Francisella philomiragia subsp. philomiragia (strain ATCC 25017 / FSC 153 / O#319-036),
Francolinus pintadeanus,
Francolinus pondicerianus,
Frankenia salina,
Frankia sp. (strain EuIK1),
Frankia sp. (strain EAN1pec),
Frankia sp. (strain FaC1),
Francisella salina,
Francisella tularensis subsp. tularensis (strain FSC 198),
Francisella tularensis subsp. tularensis (strain NE061598),
Francisella tularensis subsp. holarctica (strain FTNF002-00 / FTA),
Francisella tularensis subsp. holarctica (strain LVS),
Francisella tularensis subsp. tularensis,
Francisella tularensis subsp. mediasiatica (strain FSC147),
Francisella tularensis subsp. novicida (strain U112),
Francisella tularensis subsp. holarctica (strain OSU18),
Frankliniella tritici,
Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4),
Francisella tularensis,
Francisella tularensis subsp. tularensis (strain WY96-3418),
Fragaria vesca,
Fragaria viridis,
Fragaria virginiana,
Fraserbacteria sp. (strain RBG_16_55_9),
Fregata andrewsi,
Fremontodendron californicum,
Fregetta grallaria,
Fregata magnificens,
Freesia sp. (strain Lejeune 1997),
Fregetta tropica,
Fritillaria liliacea,
Fritillaria meleagris,
Frischella perrara,
Fritillaria unibracteata,
Friend mink cell focus-inducing virus,
Frontinella communis,
Froelichia floridana,
Froelichia gracilis,
Fromia indica,
Fruhstorferiola kulinga,
Fructilactobacillus sanfranciscensis,
Fructilactobacillus sanfranciscensis (strain ATCC 27651 / DSM 20451 / JCM 5668 / CCUG 30143 / KCTC 3205 / NCIMB 702811 / NRRL B-3934 / L-12),
Fructilactobacillus sanfranciscensis (strain TMW 1.1304),
Feline sarcoma virus (strain Gardner-Rasheed),
Feline sarcoma virus (strain Hardy-Zuckerman 2),
Feline sarcoma virus (strain Hardy-Zuckerman 4),
Feline sarcoma virus (strain McDonough),
Feline sarcoma virus (strain Snyder-Theilen),
Fucus distichus,
Fucus serratus,
Fucus vesiculosus,
Fugleria tenera,
Fukomys amatus,
Fukomys damarensis,
Fukomys darlingi,
Fulica americana,
Fulica atra,
Fulvoscirtes fulvus,
Fulmarus glacialis,
Fulmarus glacialoides,
Fulvia mutica,
Fuligo septica,
Fumaria officinalis,
Funisciurus carruthersi,
Fundulopanchax gardneri,
Funneliformis mosseae,
Fundulus parvipinnis,
Funambulus pennantii,
Funambulus palmarum,
Funisciurus pyrropus,
Fungal sp. (strain ATCC 74256),
Fungal sp. (strain NRRL 50135),
Furcifer angeli,
Furcifer balteatus,
Furcifer belalandaensis,
Furcifer campani,
Furcraea foetida,
Furipterus horrens,
Furcifer labordi,
Furcifer lateralis,
Furcifer minor,
Furcifer oustaleti,
Furcifer pardalis,
Furcifer petteri,
Fusarium acaciae-mearnsii,
Fusarium asiaticum,
Fusarium austroamericanum,
Fuscovulum blasticum,
Fusarium boothii,
Fusarium oxysporum f. sp. cubense (strain race 1),
Fusarium oxysporum f. sp. cubense (strain race 4),
Fusarium cerealis,
Fusarium circinatum,
Fusarium cortaderiae,
Fusarium culmorum,
Fusarium equiseti,
Fusinus ferrugineus,
Fusconaia flava,
Fusarium heterosporum,
Fusarium hostae,
Fusarium langsethiae,
Fusarium lichenicola,
Fusarium lunulosporum,
Fusarium mangiferae,
Fusarium meridionale,
Fusarium mesoamericanum,
Fusobacterium mortiferum,
Fusobacterium nucleatum subsp. nucleatum (strain ATCC 23726 / VPI 4351),
Fusobacterium nucleatum subsp. nucleatum,
Fusigobius neophytus,
Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / DSM 15643 / BCRC 10681 / CIP 101130 / JCM 8532 / KCTC 2640 / LMG 13131 / VPI 4355),
Fusobacterium nucleatum subsp. polymorphum,
Fusobacterium nucleatum,
Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936),
Fusarium oxysporum (strain Fo5176),
Fusarium oxysporum,
Fusarium pseudograminearum (strain CS3096),
Fusarium poae,
Fusarium proliferatum (strain ET1),
Fusarium pseudograminearum,
Fusarium redolens,
Fusarium solani subsp. cucurbitae,
Fusarium sp. (strain FN080326),
Fusarium solani subsp. phaseoli,
Fusobacterium simiae,
Fusarium solani,
Fusiturris similis,
Fusarium sporotrichioides,
Fusconaia subrotunda,
Fusarium sp.,
Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4),
Fusobacterium varium,
Fusobacterium vincentii,
Fusarium virguliforme,
Fusarium vanettenii,
Foxtail mosaic virus,
Gadus chalcogrammus,
Gadus morhua subsp. callarias,
Gadus morhua,
Gadus ogac,
Gaeumannomyces avenae,
Gaeumannomyces graminis,
Gaeumannomyces tritici (strain R3-111a-1),
Gaeumannomyces tritici,
Gagata dolichonema,
Gagea lutea,
Gagea minima,
Gaillardia aristata,
Gaillardia pulchella,
Galium album,
Gallibacterium anatis (strain UMN179),
Galbulimima belgraveana,
Galerucella birmanica,
Galium boreale,
Galeolaria caespitosa,
Gallinula chloropus,
Galium corsicum,
Gallionella capsiferriformans (strain ES-2),
Galeocerdo cuvier,
Galagoides demidoff,
Galaxias divergens,
Gallinago delicata,
Galeodea echinophora,
Galidia elegans,
Galium elongatum,
Galanthus elwesii,
Galidictis fasciata,
Galaxea fascicularis,
Galeorhinus galeus,
Galago gabonensis,
Gallinago gallinago,
Galaxias gollumoides,
Gallus lafayettii,
Galerucella lineola,
Galium lucidum,
Galerina marginata (strain CBS 339.88),
Galago matschiei,
Galleria mellonella,
Galeus melastomus,
Galago moholi,
Galea musteloides,
Galaxiella nigrostriata,
Galanthus nivalis,
Galerucella nymphaeae,
Galium odoratum,
Galega officinalis,
Galium palustre,
Galinsoga parviflora,
Galanthus plicatus,
Galium parisiense,
Galaxiella pusilla,
Galeana pratensis,
Galaxias paucispondylus,
Galerella pulverulenta,
Galemys pyrenaicus,
Galinsoga quadriradiata,
Galegeeska rufescens,
Galerella sanguinea,
Galium scabrum,
Galago senegalensis,
Gallus sonneratii,
Galerina sp.,
Galdieria sulphuraria,
Galeopsis tetrahit,
Galactites tomentosa,
Gallus varius,
Galeopterus variegatus,
Galaxias zebratus,
Gammarus acherondytes,
Gambusia affinis,
Gampsocleis gratiosa,
Gambusia holbrooki,
Gambelia wislizenii,
Ganoderma australe,
Ganyra josephina,
Ganoderma lucidum,
Ganoderma microsporum,
Ganyra phaloe,
Ganoderma tsugae,
Gandalfus yunohana,
Gardnerycteris crenulatum,
Garrya elliptica,
Garrulus glandarius,
Garritornis isidorei,
Gardenia jasminoides,
Garrulax leucolophus,
Garrulus lidthi,
Garrodia nereis,
Gardnerella vaginalis (strain ATCC 14019 / 317),
Gardnerella vaginalis (strain 409-05),
Gardnerella vaginalis,
Gardnerella vaginalis (strain HMP9231),
Gasterosteus aculeatus,
Gastrophysa atrocyanea,
Gasteracantha cancriformis,
Gastroclonium compressum,
Gastroclonium coulteri,
Gastrotheca cornuta,
Gastrothylax crumenifer,
Gastrophysa cyanea,
Gasterophilus intestinalis,
Gasteruption jaculator,
Gasteracantha kuhli,
Gasterochisma melampus,
Gasterophilus nasalis,
Gastrophysa viridula,
Gavia adamsii,
Gavia arctica,
Gavialis gangeticus,
Gavia immer,
Gavia pacifica,
Gavia stellata,
Gavicalis virescens,
Gazella cuvieri,
Gazella dorcas,
Gazella gazella,
Gazella leptoceros,
Gazella saudiya,
Gazella spekei,
Gazella subgutturosa,
Gecarcinus lateralis,
Gegeneophis ramaswamii,
Geitonoplesium cymosum,
Gekko gecko,
Gekko japonicus,
Gelidium crinale,
Gelidiophycus divaricatus,
Gelidium elegans,
Gelasimus hesperiae,
Gelidium latifolium,
Gelochelidon nilotica,
Gelidium pulchellum,
Gelidium purpurascens,
Gelsemium sempervirens,
Gelasinospora sp. (strain G114),
Gelasinospora sp. (strain S23),
Gelidium vagum,
Gemmatimonas aurantiaca (strain T-27 / DSM 14586 / JCM 11422 / NBRC 100505),
Gemmuloborsonia clandestina,
Geminocystis herdmanii (strain PCC 6308),
Gemmula kieneri,
Geminella minor,
Gemmuloborsonia moosai,
Gemmula speciosa,
Genetta angolensis,
Gentianella aspera,
Genetta bourloni,
Genetta cristata,
Genetta genetta,
Genetta johnstoni,
Genicanthus lamarck,
Gentiana lutea,
Genetta maculata,
Genicanthus melanospilos,
Genetta pardina,
Genetta poensis,
Genista sagittalis,
Genetta servalina,
Genetta tigrina,
Genetta thierryi,
Genista tinctoria,
Gentiana triflora,
Genetta victoriae,
Geocalamus acutus,
Geothlypis aequinoctialis,
Geoglobus acetivorans,
Geomys arenarius,
Geomys attwateri,
Geogale aurita,
Geomys breviceps,
Geophagus brasiliensis,
Geomys bursarius,
Geococcyx californianus,
Geospiza conirostris,
Geotrichum candidum,
Georychus capensis,
Geothelphusa dehaani,
Geotalea daltonii (strain DSM 22248 / JCM 15807 / FRC-32),
Geospiza difficilis,
Geochelone elegans,
Geothrix fermentans,
Geospiza fortis,
Geothlypis formosa,
Geospiza fuliginosa,
Geobacillus genomosp. 3,
Geobacillus kaustophilus (strain HTA426),
Geomys knoxjonesi,
Geobacillus kaustophilus,
Geomys bursarius lutescens,
Geospiza magnirostris,
Geobacter metallireducens,
Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15),
Geotrygon montana,
Geodia neptuni,
Geodermatophilus obscurus (strain ATCC 25078 / DSM 43160 / JCM 3152 / KCC A-0152 / KCTC 9177 / NBRC 13315 / NRRL B-3577 / G-20),
Geobacillus sp. (strain PA-9),
Geocoris pallidipennis,
Geomys personatus,
Geothlypis philadelphia,
Geomys pinetis,
Geospiza pauper,
Geospiza parvula,
Geomys personatus streckeri,
Geocoris punctipes,
Geocenamus quadrifer,
Geobacillus sp. (strain Y4.1MC1),
Geotrichum sp. (strain M128),
Geobacillus sp. (strain Y412MC52),
Geobacillus stearothermophilus (strain DSM 13240 / CIP 106956 / 10),
Geobacillus sp. (strain Y412MC10),
Geobacter sp. (strain M18),
Geotrypetes seraphini,
Geobacillus sp. (strain C56-T3),
Geophagus steindachneri,
Geobacillus stearothermophilus,
Geobacter sulfurreducens (strain DL-1 / KN400),
Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA),
Geobacter sp. (strain M21),
Geobacter sulfurreducens,
Geothlypis speciosa,
Geospiza scandens,
Geopelia striata,
Geobacillus sp. (strain WCH70),
Geobacillus sp. (strain Y412MC61),
Geobacillus thermodenitrificans,
Geomys texensis,
Geobacillus thermoleovorans,
Geothlypis tolmiei,
Geobacillus thermopakistaniensis (strain MAS1),
Geobacillus thermodenitrificans (strain NG80-2),
Geomys tropicalis,
Geothlypis trichas,
Geotalea uraniireducens (strain Rf4),
Geranoaetus albicaudatus,
Gerris argenticollis,
Gerris brasili,
Gerris buenoi,
Geronticus calvus,
Gerris costae,
Geronticus eremita,
Gerris gracilicornis,
Gerbillus gerbillus,
Gerris gibbifer,
Gerbilliscus gambianus,
Gerbillus henleyi,
Gerrhonotus infernalis,
Gerbera jamesonii,
Gerris lacustris,
Gerris maculatus,
Gerris marginatus,
Gerbillus nanus,
Gerbilliscus nigricaudus,
Gerbillus nigeriae,
Gerbillus nancillus,
Gerris odontogaster,
Gerbillurus paeba,
Geranium pusillum,
Gerbilliscus robustus,
Gerbillurus setzeri,
Gerris thoracicus,
Gerbillurus tytonis,
Gerbillurus vallinus,
Geukensia demissa,
Geum fragarioides,
Geum quellyon,
Geum urbanum,
Geum vernum,
Giardia intestinalis (strain P15),
Giardia intestinalis (strain ATCC 50581 / GS clone H7),
Giardia intestinalis (strain ATCC 50803 / WB clone C6),
Giardia intestinalis,
Giardia muris,
Gibberella baccata,
Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831),
Gibberella fujikuroi,
Gibasis geniculata,
Gibberella intermedia,
Gibberella moniliformis (strain M3125 / FGSC 7600),
Gibberella moniliformis,
Gibberella nygamai,
Gibberella pulicaris,
Gibberella sacchari,
Gibberella subglutinans,
Gibberella thapsina,
Gibbula turbinoides,
Gibberella zeae,
Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1),
Gigantopelta aegis,
Gigantopelta chessoia,
Gigantidas childressi,
Gigartina grandifida,
Gigaspora margarita,
Gigantactis vanhoeffeni,
Gillisia limnaea (strain DSM 15749 / LMG 21470 / R-8282),
Gillichthys mirabilis,
Gillichthys seta,
Gimesia maris (strain ATCC 29201 / DSM 8797 / 534-30),
Ginglymostoma cirratum,
Girella punctata,
Giuris margaritaceus,
Glabraster antarctica,
Glaucis aeneus,
Glaucopsyche alexis,
Glaucus atlanticus,
Glauconycteris beatrix,
Glaucidium bolivianum,
Glaucidium brasilianum,
Glaucidium californicum,
Glaucoma chattoni,
Glaucidium capense,
Glaucium flavum,
Glaucidium gnoma,
Glaucidium griseiceps,
Gladiolus gueinzii,
Glaucidium hardyi,
Glaucosoma hebraicum,
Glaucis hirsutus,
Glaucidium jardinii,
Glarea lozoyensis (strain ATCC 20868 / MF5171),
Glarea lozoyensis (strain ATCC 74030 / MF5533),
Glarea lozoyensis,
Glaucopsyche lygdamus,
Glaucidium minutissimum,
Glaucilla marginata,
Gladiolus murielae,
Glaucidium nana,
Glaciecola nitratireducens (strain JCM 12485 / KCTC 12276 / FR1064),
Glareola nuchalis,
Glaesserella parasuis serovar 5 (strain SH0165),
Gladiolus papilio,
Glaucidium perlatum,
Glaucidium peruanum,
Glaucidium passerinum,
Glareola pratincola,
Glaesserella parasuis,
Glandirana rugosa,
Glaciecola sp. (strain 4H-3-7+YE-5),
Glaucomys sabrinus,
Glaucomys sabrinus fuscus,
Glaciecola sp. (strain KUL10),
Glaucidium tephronotum,
Glaucidium tucumanum,
Glaucostegus typus,
Glaucomys volans,
Glebionis coronaria,
Glehnia littoralis,
Glebocarcinus oregonensis,
Gleditsia triacanthos,
Glis glis,
Glirulus japonicus,
Glironia venusta,
Glomerella acutata,
Glossina austeni,
Gloeospermum blakeanum,
Gloydius blomhoffii blomhoffii,
Gloydius brevicaudus,
Gloydius brevicaudus siniticus,
Gloeothece citriformis (strain PCC 7424),
Glossogobius callidus,
Glossogobius circumspectus,
Glossophaga commissarisi,
Gloiopeltis complanata,
Glossina fuscipes fuscipes,
Glossogobius giuris,
Gloydius halys,
Globisporangium hypogynum,
Globisporangium irregulare,
Gloydius intermedius,
Gloeobacter kilaueensis (strain ATCC BAA-2537 / CCAP 1431/1 / ULC 316 / JS1),
Glomerella lagenarium,
Glossophaga leachii,
Glossophaga longirostris,
Globicephala macrorhynchus,
Globicephala melas,
Glossina morsitans morsitans,
Glossophaga morenoi,
Gloeothece membranacea (strain PCC 6501 / SAG 26.84),
Glomeris marginata,
Globodera pallida,
Glossina pallidipes,
Glossina palpalis palpalis,
Gloeospermum pauciflorum,
Glottidia pyramidata,
Glossotherium robustum,
Globodera rostochiensis,
Gloydius saxatilis,
Glossanodon semifasciatus,
Gloydius shedaoensis,
Globisporangium splendens,
Glossophaga soricina,
Gloeotilopsis sterilis,
Gloriosa superba,
Gloeophyllum trabeum (strain ATCC 11539 / FP-39264 / Madison 617),
Globodera tabacum,
Gloeophyllum trabeum,
Gloydius tsushimaensis,
Globisporangium ultimum (strain ATCC 200006 / CBS 805.95 / DAOM BR144),
Globisporangium ultimum,
Gloydius ussuriensis,
Gloeothece verrucosa (strain PCC 7822),
Gloeobacter violaceus (strain ATCC 29082 / PCC 7421),
Glugea americanus,
Glutamicibacter arilaitensis (strain DSM 16368 / CIP 108037 / IAM 15318 / JCM 13566 / NCIMB 14258 / Re117),
Gluconacetobacter diazotrophicus (strain ATCC 49037 / DSM 5601 / CCUG 37298 / CIP 103539 / LMG 7603 / PAl5),
Gluconacetobacter diazotrophicus,
Glutophrissa drusilla,
Gluconobacter japonicus,
Gluconacetobacter liquefaciens,
Glutamicibacter nicotianae,
Gluconobacter oxydans (strain 621H),
Gluconobacter oxydans,
Gluconacetobacter polyoxogenes,
Glutamicibacter protophormiae,
Gluconobacter thailandicus,
Glutamicibacter uratoxydans,
Glycine canescens,
Glyptolithodes cristatipes,
Glyphonycteris daviesi,
Glyceria declinata,
Glycyphagus domesticus,
Glyceria fluitans,
Glyphis garricki,
Glyceria grandis,
Glyphis glyphis,
Glyptapanteles indiensis,
Glyptemys muhlenbergii,
Glyphodes pyloalis,
Glyphodes quadrimaculalis,
Glyphotes simus,
Glycine soja,
Glyceria striata,
Glyptodon sp. (strain SLP-2019),
Glyphonycteris sylvestris,
Glycine tabacina,
Glycera tridactyla,
Glycine tomentella,
Glyptothorax trilineatus,
Glycyrrhiza uralensis,
Glyptocephalus zachirus,
Gmelina hainanensis,
Gmelina philippensis,
Gnathophyllum americanum,
Gnaphosa borea,
Gnathopogon caerulescens,
Gnaphosa parvula,
Gnetum gnemon,
Gnetum parvifolium,
Gnorimopsar chopi,
Gobiosoma bosc,
Gobiomorphus breviceps,
Gobiomorphus cotidianus,
Gobionotothen gibberifrons,
Gobiodon histrio,
Gobiopterus lacustris,
Gobius niger,
Gobiodon quinquestrigatus,
Gobiocypris rarus,
Goetzea elegans,
Alethinophid 1 reptarenavirus (isolate AlRrV1/Boa/USA/BC/2009),
Golfingia vulgaris,
Gomphus adelphus,
Gomphrena globosa,
Gomphrena haageana,
Gomphiocephalus hodgsoni,
Gomphrena pulchella,
Gomphosus varius,
Gonatodes albogularis,
Gondogeneia antarctica,
Gonopterodendron arboreum,
Gonostoma atlanticum,
Gonatopsis borealis,
Gonionotophis brussauxi,
Gonodactylus chiragra,
Gonepteryx cleopatra,
Gongylus gongylodes,
Gonioctena intermedia,
Gonioctena interposita,
Gonioctena linnaeana,
Gonatozygon monotaenium,
Goniodoris nodosa,
Gonioctena olivacea,
Gonatus onyx,
Gonioctena pallida,
Gonium pectorale,
Gonapodya prolifera (strain JEL478),
Gonionotophis poensis,
Gonapodya prolifera,
Goniastrea retiformis,
Gonepteryx rhamni,
Goneplax rhomboides,
Gonionotophis stenophthalmus,
Goniopora tenuidens,
Gonionotophis unicolor,
Gonatodes vittatus,
